--- scanner 0 ---
33,119,14
386,794,-527
847,-773,-432
494,712,-428
-435,-718,795
-295,471,-487
-816,-544,-567
734,-774,473
463,729,497
-427,366,-518
398,573,572
128,-27,104
-540,492,683
-363,-696,767
503,604,588
685,-758,404
939,-738,-439
466,681,-536
-506,516,563
-419,574,648
-762,-635,-608
-342,-819,826
825,-767,-571
-685,-537,-490
621,-854,416
-409,412,-368

--- scanner 1 ---
-554,688,331
10,136,-43
595,428,514
385,-521,-354
477,401,460
903,577,-479
471,-295,450
367,-400,-438
-312,-437,350
-749,501,-593
-441,-615,-655
-827,496,-560
-513,-396,311
598,-354,555
-424,793,374
587,-320,334
870,378,-476
881,576,-497
-348,-580,-656
501,427,383
-853,527,-530
348,-473,-387
-374,-464,296
-437,-463,-675
-430,611,375

--- scanner 2 ---
577,283,810
-462,405,-722
-379,-690,-402
-347,-574,-279
527,677,-416
-706,-632,694
-369,-495,-312
661,-789,902
666,-736,970
491,307,853
341,-869,-607
-562,729,576
405,789,-428
440,263,902
-543,376,-567
-29,-176,83
-838,-690,725
-685,750,553
-802,-549,689
-720,682,507
-501,407,-553
692,-726,964
337,-755,-698
408,604,-496
93,-36,1
405,-730,-676

--- scanner 3 ---
587,471,-462
-509,-620,-660
-653,741,-542
-868,-562,313
-836,-678,436
418,-555,505
466,-556,374
-377,-678,-691
-413,-537,-655
596,486,-428
298,-596,399
10,-1,-72
-753,417,756
-72,-163,17
-672,388,601
-495,694,-473
480,642,434
604,715,470
-714,419,587
553,571,-592
734,-907,-428
737,-874,-656
721,-831,-433
-530,762,-519
-846,-483,346
486,788,573

--- scanner 4 ---
364,-582,469
-750,-386,504
-439,-535,-634
-734,-429,727
518,-428,-697
496,-640,500
-343,-614,-680
-339,703,-535
803,534,-662
744,470,-753
493,-540,-546
-576,853,480
502,554,402
-611,799,331
20,1,-135
415,692,351
849,636,-772
-747,-353,732
-574,726,496
589,-589,-637
-496,-569,-655
-289,730,-701
-289,644,-607
464,590,390
400,-723,505

--- scanner 5 ---
882,753,478
94,9,-2
730,-823,-830
-702,-361,462
826,807,-755
793,-927,-804
-510,639,305
-395,548,-768
875,820,672
951,833,625
763,-901,-835
844,829,-754
-561,-475,-945
-437,450,-814
-401,574,296
451,-539,482
453,-644,492
660,-563,502
8,-97,-149
-618,-536,439
-763,-565,476
-414,-426,-968
-538,-383,-865
-411,727,410
-385,387,-889
847,796,-953

--- scanner 6 ---
-454,-374,430
431,400,675
673,-439,-701
414,438,713
541,718,-651
-718,484,680
441,-781,727
-395,-265,494
-828,752,-757
-360,-585,-527
538,837,-815
615,686,-758
343,465,536
778,-420,-535
-377,-484,453
732,-530,-637
24,103,141
-708,735,-745
-603,467,581
384,-690,830
-736,445,668
-410,-657,-468
-767,596,-696
-360,-491,-441
-133,3,75
408,-680,583

--- scanner 7 ---
-581,-448,-593
-251,804,-447
-781,512,720
-347,-720,518
882,655,-638
627,-442,480
-465,-858,549
64,-9,18
-680,566,831
-452,-879,493
447,-759,-699
421,762,528
881,662,-478
590,-699,-737
916,697,-478
-505,-395,-497
-684,492,812
741,-410,448
-434,759,-412
383,645,637
-298,826,-332
-529,-464,-418
436,639,562
811,-510,474
608,-876,-689

--- scanner 8 ---
-758,376,-649
348,349,-725
564,-589,-806
-396,-646,735
-336,-561,673
573,-598,639
649,527,715
792,-621,691
-651,457,-569
626,-713,665
528,-681,-645
-627,-483,-412
-587,-432,-606
-874,903,424
-591,480,-629
-617,-474,-469
354,414,-653
-889,832,502
-872,868,306
-45,39,-90
-346,-617,799
641,569,762
538,525,799
441,330,-548
509,-799,-799

--- scanner 9 ---
643,-675,879
-297,764,660
779,465,-424
-390,-723,882
685,-645,-332
689,-492,-311
634,-788,959
809,590,-549
535,-706,851
678,773,520
103,35,21
-863,-795,-607
-481,-598,842
539,779,498
-309,860,724
-526,423,-306
546,744,406
-813,-837,-702
753,455,-625
-22,-129,41
-864,-878,-525
663,-639,-336
-465,-567,947
-366,780,611
-545,423,-348
-34,59,174
-577,524,-230

--- scanner 10 ---
-391,495,669
582,758,-495
723,530,865
-99,-118,110
-520,-520,711
316,-654,637
-616,-611,662
469,-629,682
475,-384,-729
573,724,-480
539,594,-580
-544,667,-771
720,758,898
-677,-626,-740
350,-501,-755
-705,-739,-768
432,-413,-756
-427,531,528
-667,644,-750
-523,526,611
-509,713,-703
13,-12,-24
-575,-678,-688
412,-608,716
707,753,822
-545,-671,823

--- scanner 11 ---
705,-863,-676
608,741,471
385,295,-522
-765,407,-738
668,718,531
713,-642,713
501,822,551
126,-39,-4
626,-767,-722
-612,-867,-821
-731,396,379
-698,421,-595
724,-863,747
840,-747,772
-697,519,-795
-776,524,371
-323,-449,588
-335,-569,571
-639,-917,-655
660,-710,-701
-781,370,428
-28,46,-161
-553,-917,-749
-384,-510,432
387,330,-404
370,366,-600

--- scanner 12 ---
-423,223,700
-552,-912,-420
924,418,603
840,420,492
-463,577,-770
-435,751,-716
764,-705,568
671,-915,-647
790,-820,515
-528,307,787
6,-115,-93
-633,-906,-522
689,589,-847
704,599,-950
-447,653,-737
-600,242,793
-572,-870,-470
-681,-696,577
-674,-906,632
708,492,-905
887,462,500
665,-898,-406
816,-728,349
648,-871,-541
-520,-788,613

--- scanner 13 ---
-425,501,-445
728,-720,602
-446,-436,810
484,-596,-266
-735,-587,-375
82,32,86
-703,-473,-407
-287,619,-476
603,875,-553
731,977,-509
-386,-293,772
447,-570,-440
-750,659,570
-269,-454,762
824,551,740
799,591,908
-635,-657,-401
458,-443,-320
693,550,788
-266,606,-420
627,905,-605
-681,683,491
-697,735,666
764,-647,726
625,-793,720

--- scanner 14 ---
542,-384,605
-711,703,-638
583,-273,691
-653,-503,341
-634,-620,430
-782,643,-799
-51,104,-103
253,506,-758
-871,-683,-374
-622,575,792
-752,636,712
705,386,563
-650,688,764
494,-688,-762
-654,-468,434
-922,-610,-355
474,-714,-799
271,482,-871
597,-346,754
-955,-562,-392
753,385,581
374,404,-820
540,-646,-851
638,435,490
-807,794,-687

--- scanner 15 ---
913,-860,-635
-601,425,-479
636,616,855
929,836,-632
-515,-516,950
851,-914,-608
712,-899,-676
-364,-546,909
628,658,808
-769,586,676
465,-717,941
-580,327,-467
923,771,-560
836,855,-455
739,660,892
-814,479,672
-410,-383,-380
3,-100,46
439,-842,824
-343,-523,-413
-711,489,657
-277,-496,955
-634,501,-495
-437,-419,-366
157,18,115
438,-760,912

--- scanner 16 ---
-627,-424,478
-380,962,-358
786,887,592
-637,-415,535
-603,516,635
481,-617,-601
-663,539,695
643,-360,821
-858,-587,-669
565,-686,-596
-496,435,715
530,-711,-541
702,738,-631
-382,927,-240
703,836,-431
781,733,535
-137,132,175
-908,-558,-733
556,-515,784
573,-508,741
736,861,543
28,25,61
770,850,-574
-365,891,-436
-918,-502,-607
-667,-373,672

--- scanner 17 ---
-903,557,938
-532,-319,949
308,691,657
571,607,-543
-777,613,948
321,-739,-612
-613,-403,-431
651,755,-613
281,-503,685
-839,528,888
-711,404,-500
398,-487,844
-771,498,-451
-598,-511,985
276,-673,-493
-556,-500,-433
502,742,697
255,-466,773
-409,-432,-469
-486,-530,974
614,600,-526
-766,429,-535
277,-705,-701
-129,29,156
365,700,667

--- scanner 18 ---
633,-271,-850
-662,603,-547
-545,-742,658
786,450,-611
610,744,448
-616,396,752
-637,450,-592
593,-505,542
-128,165,-28
-2,27,121
-771,-386,-518
561,-579,435
-782,446,725
-710,396,666
585,-238,-813
627,864,436
752,671,-600
-655,-696,556
811,566,-727
-620,-411,-406
471,803,497
-683,546,-513
-564,-637,492
712,-502,378
706,-322,-831
-680,-482,-567

--- scanner 19 ---
-757,454,646
377,477,598
437,-682,325
-690,-682,784
-935,-636,-720
-769,490,684
-483,289,-561
-867,-583,-715
733,-617,-391
684,359,-604
520,402,-594
-659,-740,652
-654,-823,748
621,341,-604
-563,362,-428
642,-503,-395
-461,347,-480
347,-877,315
314,-798,293
-3,-175,-172
-929,-646,-746
-135,-44,-134
-808,592,733
351,543,412
711,-642,-459
436,435,428

--- scanner 20 ---
-672,500,-758
-545,662,764
634,-808,-432
-487,778,731
-784,-808,716
-646,-522,-377
761,844,-380
9,-104,45
142,19,-30
660,-648,522
600,-708,499
694,572,884
624,-865,-441
763,664,883
779,780,-349
-576,-602,-525
664,-671,-390
-575,485,-814
493,-628,418
-739,-800,844
696,586,847
-581,353,-738
-789,-751,870
-559,-559,-532
855,827,-276
-520,805,765

--- scanner 21 ---
-327,375,-825
-709,-420,-666
746,-882,512
823,-973,-754
373,660,469
-596,-500,-657
-45,-13,17
-285,550,299
-627,-528,-765
-281,393,-675
852,-859,-622
788,-793,558
-335,459,414
622,651,-703
-286,532,347
720,728,-585
858,-881,-761
93,-97,-111
629,782,-626
-382,-902,781
446,723,455
-304,-851,678
-406,-789,799
484,574,510
-386,261,-706
814,-830,578

--- scanner 22 ---
-787,-425,-591
423,419,-559
-560,519,547
734,-609,-665
-588,919,-611
483,562,-521
-815,-352,721
718,-557,-840
787,-533,-761
700,452,461
605,-259,537
-727,773,-605
-691,846,-729
-762,-465,-423
596,-502,490
91,-38,-174
-574,550,589
-17,94,-100
665,549,362
821,538,448
-656,-424,-543
-848,-431,743
-405,548,628
682,-365,445
-725,-547,711
306,580,-569

--- scanner 23 ---
-672,354,397
610,-553,804
-713,315,598
-494,-651,526
-588,-350,-300
875,454,872
-529,-652,433
-755,559,-513
